Posting Date,Material,Material Description,Purchase Order,Document Date,Qty in Un. of Entry,Item,Movement Type,WBS Element,Unit of Entry,Item,Amount in LC,Material Document,User Name,Document Header Text,Reference,Order,Vendor,Reservation,Batch,WBS Element
2024-01-03,D84TA90030,EAR PLUG,,2024-01-03,-1876,0,221,M1-22041.4300003938,PC,2,-37520000,4900300737,IMS_INVT01,,FAB WS.INKA,,,61409,,M1-22041.4300003938
2024-01-03,A11AB0023,STEEL PLATE,,2024-01-03,-4.00,0,221,M1-22041.4300003938.1,SHT,1,-3348520,4900300661,IMS_INVT01,,WS. BAGI,,,61386,,M1-22041.4300003938.1
2024-01-03,A28TH0012,RUBBER OPENING TRIM (AC),,2024-01-03,-200.00,0,221,M1-22041.4300003938.1,M,1,-3200000,4900300707,IMS_INVT01,,WS. BAGI,,,61407,,M1-22041.4300003938.1
2024-01-03,B44BE0108,PLAIN WASHER,,2024-01-03,-2000,0,221,M1-22041.4300003938.1,PC,2,-433811,4900300708,IMS_INVT01,,FINISHING WS.INK,,,61405,,M1-22041.4300003938.1
2024-01-03,B44BE0208,SPRING WASHER,,2024-01-03,-2000,0,221,M1-22041.4300003938.1,PC,1,-410000,4900300708,IMS_INVT01,,FINISHING WS.INK,,,61405,,M1-22041.4300003938.1
2024-01-03,B50CJ01180,BOSTER PUMP,,2024-01-03,-1,0,221,M1-22041.4300003938.1,PC,2,-995000,4900300747,IMS_INVT01,,WS. INKA,,,61440,,M1-22041.4300003938.1
2024-01-03,B50EB01031,MARKING DILARANG DIINJAK,,2024-01-03,-220,0,221,M1-22041.4300003938.1,PC,1,-1485000,4900300739,IMS_INVT01,,WS. BAGI,,,61411,,M1-22041.4300003938.1
2024-01-03,B50EB01032,MARKING NO. 1,,2024-01-03,-110,0,221,M1-22041.4300003938.1,PC,2,-220000,4900300739,IMS_INVT01,,WS. BAGI,,,61411,,M1-22041.4300003938.1
2024-01-03,B50EB01033,MARKING NO. 2,,2024-01-03,-110,0,221,M1-22041.4300003938.1,PC,3,-220000,4900300739,IMS_INVT01,,WS. BAGI,,,61411,,M1-22041.4300003938.1
2024-01-03,B51BRNJG012,BALLCOCK / BALL VALVE,,2024-01-03,-26,0,221,M1-22041.4300003938.1,PC,8,-2238391,4900300674,IMS_INVT01,,FINISHING WS.INK,,,61376,,M1-22041.4300003938.1
2024-01-03,B51BRNJG100,BALLCOCK / BALL VALVE,,2024-01-03,-42,0,221,M1-22041.4300003938.1,PC,6,-7937483,4900300674,IMS_INVT01,,FINISHING WS.INK,,,61376,,M1-22041.4300003938.1
2024-01-03,B51NDQG0100,CHECK VALVE,,2024-01-03,-52,0,221,M1-22041.4300003938.1,PC,3,-10512482,4900300674,IMS_INVT01,,FINISHING WS.INK,,,61376,,M1-22041.4300003938.1
2024-01-03,B51PGDHR012#GL,"DOUBLE NIPPLE 1/2""",,2024-01-03,-26,0,221,M1-22041.4300003938.1,PC,5,-136584,4900300674,IMS_INVT01,,FINISHING WS.INK,,,61376,,M1-22041.4300003938.1
2024-01-03,B51PGPIG100#GL,UNION (UNION STRAIGHT JOINT 1),,2024-01-03,-179,0,221,M1-22041.4300003938.1,PC,2,-9572418,4900300674,IMS_INVT01,,FINISHING WS.INK,,,61376,,M1-22041.4300003938.1
2024-01-03,B51PGPIR012#GL,"UNION (UNION STRAIGHT JOINT 1/2"")",,2024-01-03,-40,0,221,M1-22041.4300003938.1,PC,7,-1554440,4900300674,IMS_INVT01,,FINISHING WS.INK,,,61376,,M1-22041.4300003938.1
2024-01-03,B51PGPWR012#GL,"ELBOW JOINT 1/2""",,2024-01-03,-30,0,221,M1-22041.4300003938.1,PC,4,-199643,4900300674,IMS_INVT01,,FINISHING WS.INK,,,61376,,M1-22041.4300003938.1
