Material,Plnt,SLoc,S,Special stock number,BUn,Unrestricted,Crcy,Value Unrestricted
A11EL0100G9157,2301,IS02,Q,,SHT,"40,00",IDR,
A11EL0100G9157,2301,IS02,Q,,SHT,"58,00",IDR,
A11EL0100G9157,2301,IS02,Q,,SHT,"50,00",IDR,
A11EL0100G9157,2301,IS02,Q,,SHT,"4,00",IDR,
A11EL0100G9157,2301,IS02,Q,,SHT,"2,00",IDR,
A11EL0100G9157,2301,IS02,Q,,SHT,"8,00",IDR,
A11EL0100G9157,2301,IS02,Q,,SHT,"21,00",IDR,
A11EL0100G9157,2301,IS02,Q,,SHT,"8,00",IDR,
A11EL0100G9157,2301,IS02,Q,,SHT,"8,00",IDR,
A11EL0120E0223,2301,IS02,Q,,SHT,"5,00",IDR,
A11EL0120E0223,2301,IS02,Q,,SHT,"4,00",IDR,
A11EL0120E0223,2301,IS02,Q,,SHT,"2,00",IDR,
A11EL0120E0223,2301,IS02,Q,,SHT,"9,00",IDR,
