Material,Plnt,SLoc,S,Valuation,Special stock number,SL,Batch,BUn,Unrestricted,Crcy,Value Unrestricted,Transit/Transf.,Val. in Trans./Tfr,In Quality Insp.,Value in QualInsp.,Restricted-Use,Value Restricted,Blocked,Value BlockedStock,Returns,Value Rets Blocked
A10TA13100,2301,IS01,Q,M,M1-22041.4300003938.3,,,M,"500,00",IDR,100.000.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10TA13100,2301,IS01,Q,M,M1-23011.4300004437.2,,,M,"90,00",IDR,18.000.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10TA13100,2301,IS01,Q,M,M1-23003.4500010780,,,M,"150,00",IDR,30.000.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10TA2250C7,2301,IS01,Q,M,M9-22004.9000000035,,,SHT,"17,00",IDR,1.763.597,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10TD0025D168,2301,IS01,,,,,,SHT,"1,00",IDR,234.967,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10TD0025D168,2301,IS01,Q,M,M9-22008.9000000012,,,SHT,"42,00",IDR,9.797.689,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10TH0002,2301,IS01,Q,M,M1-23001.9000000082,,,SHT,"1,00",IDR,259.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10TH0002,2301,IS01,Q,M,M1-23001.4500009981,,,SHT,"1,00",IDR,259.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10TH0002,2301,IS01,Q,M,M1-23011.4300004437,,,SHT,"2,00",IDR,518.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10TH0002,2301,IS01,Q,M,M1-23003.9000000337,,,SHT,"2,00",IDR,518.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10TH0030,2301,IS01,Q,M,M1-23011.4300004437,,,SHT,"1,00",IDR,395.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10TH0030,2301,IS01,Q,M,M1-22041.4300003938.2,,,SHT,"2,00",IDR,655.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10TH0030,2301,IS01,Q,M,M1-22041.4300003938.3,,,SHT,"2,00",IDR,531.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10TH0030,2301,IS01,Q,M,M1-22041.4300003938.4,,,SHT,"5,00",IDR,1.327.500,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10TH0050,2301,IS01,Q,M,M1-23003.9000000337,,,SHT,"15,00",IDR,7.027.500,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10TI0060,2301,IS01,Q,M,M2-22001.9000000033,,,SHT,"30,00",IDR,2.475.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10TI0100#01,2301,IS01,Q,M,M1-22041.4300003938.4,,,SHT,"1,00",IDR,350.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10TI0120#01,2301,IS01,Q,M,M1-22041.9000000333,,,SHT,"1,00",IDR,350.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10TI0180#01,2301,IS01,Q,M,M1-23003.9000000337,,,SHT,"18,00",IDR,5.040.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10TY0007#CT,2301,IS01,Q,M,M1-23011.4300004437,,7202,SHT,"4,00",IDR,1.260.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10TY0007#CT,2301,IS01,Q,M,M1-22041.4300003938.1,,7202,SHT,"12,00",IDR,3.780.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10TY0007#CT,2301,IS01,Q,M,M1-22041.9000000333,,-,SHT,"2,00",IDR,460.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10WG0010#GR,2301,IS01,Q,M,M1-22041.4300003938.1,,,SHT,"69,00",IDR,21.631.500,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10WG0010#GR,2301,IS01,Q,M,M1-22041.4300003938.2,,,SHT,"61,00",IDR,19.123.500,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10WG0010#GR,2301,IS01,Q,M,M1-22041.4300003938.3,,,SHT,"24,00",IDR,7.524.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10WG0010#GR,2301,IS01,Q,M,M1-22041.4300003938.4,,,SHT,"23,00",IDR,7.210.500,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10WG0010#GR,2301,IS01,Q,M,M1-23011.4300004437.5,,,SHT,"11,00",IDR,3.448.500,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10WG0010#GR,2301,IS01,Q,M,M1-23010.9000000213,,,SHT,"1,00",IDR,313.500,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10WG0010#GR,2301,IS01,Q,M,M1-23003.9000000337,,,SHT,"2,00",IDR,627.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10WG0020#GR,2301,IS01,Q,M,M1-22041.4300003938.1,,,SHT,"153,00",IDR,50.677.625,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10WG0020#GR,2301,IS01,Q,M,M1-22041.4300003938.2,,,SHT,"427,00",IDR,145.820.500,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10WG0020#GR,2301,IS01,Q,M,M1-22041.4300003938.3,,,SHT,"110,00",IDR,37.565.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10WG0020#GR,2301,IS01,Q,M,M1-22041.4300003938.4,,,SHT,"80,00",IDR,27.320.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10WG0020#GR,2301,IS01,Q,M,M1-23003.9000000337,,,SHT,"10,00",IDR,3.415.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10WG0030#GR,2301,IS01,Q,M,M1-22041.4300003938.2,,,SHT,"85,00",IDR,38.207.500,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10WG0030#GR,2301,IS01,Q,M,M1-22041.4300003938.3,,,SHT,"48,00",IDR,21.576.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10WG0030#GR,2301,IS01,Q,M,M1-22041.4300003938.4,,,SHT,"44,00",IDR,19.778.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10WG0030#GR,2301,IS01,Q,M,M1-23003.9000000337,,,SHT,"4,00",IDR,1.798.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
